Mathematica;Laissez-faire;t;Ns;Ni;a_t;u_t;Lambda_s;Lambda_i;;;Optimal-policy;t;Ns;Ni;a_t;u_t;Lambda_s;Lambda_i;;R;Laissez-faire;t;Ns;Ni;a_t;u_t;Lambda_s;Lambda_i;;;Optimal-policy;t;Ns;Ni;a_t;u_t;Lambda_s;Lambda_i
;;84;0,77047;0,0207685;0,625736;-0,0945626;-88,2117;-,195;;;;84;0,998111;0,000243084;0,592929;-0,11561;-167,477;-5546,71;;;;84;0,755869096;0,028721366;0,754656649;-0,036236619;-89,3826263;-120,4407098;;;;84;0,99811038;0,000243172;0,593044225;-0,115530534;-167,4782049;-5544,444382
;;85;0,767708;0,0205769;0,626812;-0,0939206;-87,9074;-194,935;;;;85;0,998073;0,000246138;0,59272;-0,115753;-167,488;-5486,49;;;;85;0,749580246;0,030771532;0,796923697;-0,024109258;-89,32369788;-108,9015345;;;;85;0,998072367;0,000246228;0,592834427;-0,115674563;-167,4892766;-5484,212812
;;86;0,764972;0,0203867;0,627894;-0,093278;-87,6043;-194,931;;;;86;0,998034;0,000249201;0,592512;-0,115896;-167,499;-5427,5;;;;86;0,741510185;0,034223657;0,868214812;-0,010059263;-89,35239215;-95,5791673;;;;86;0,998033907;0,000249294;0,592626025;-0,115817758;-167,5001218;-5425,218509
;;87;0,762262;0,0201979;0,628981;-0,0926354;-87,3025;-194,927;;;;87;0,997995;0,000252274;0,592306;-0,116038;-,168;-5369,71;;;;87;0,728008366;0,042368883;1,042222304;-0,004652618;-89,56884293;-80,18682271;;;;87;0,997994999;0,000252369;0,59241902;-0,115960115;-167,5107417;-5367,431427
;;88;0,759577;0,0200107;0,630072;-0,0919931;-87,0018;-194,922;;;;88;0,997956;0,000255355;0,592101;-0,116179;-,168;-5313,11;;;;88;0,709268917;0,054069981;1,086186157;-0,015729886;-90,18686115;-62,38264085;;;;88;0,997955642;0,000255453;0,592213416;-0,11610163;-167,5211373;-5310,822364
;;89;0,756918;0,0198251;0,631167;-0,0913516;-86,7024;-194,918;;;;89;0,997916;0,000258445;0,591897;-0,11632;-,168;-5257,66;;;;89;0,691008679;0,063916552;1;0;-91,3744919;-41,8216446;;;;89;0,997915836;0,000258545;0,592009214;-0,116242299;-167,5313098;-5255,362937
;;90;0,754283;0,0196412;0,632266;-0,0907112;-86,4042;-194,914;;;;90;0,997876;0,000261543;0,591695;-0,116459;-,168;-5203,32;;;;90;0,670118186;0,074904382;1;0;-93,47368332;-18,05637112;;;;90;0,997875579;0,000261646;0,591806416;-0,116382118;-167,5412603;-5201,025553
;;91;0,751672;0,019459;0,633367;-0,0900723;-86,1072;-194,909;;;;91;0,997835;0,000264648;0,591494;-0,116598;-,168;-5150,09;;;;91;0,646553585;0,086921251;1;0;-96,91126292;9,412547938;;;;91;0,997834871;0,000264754;0,591605024;-0,116521085;-167,5509898;-5147,783387
;;92;0,749086;0,0192785;0,63447;-0,0894351;-85,8115;-194,905;;;;92;0,997794;0,000267761;0,591295;-0,116735;-,168;-5097,92;;;;92;0,620387726;0,099760867;1;0;-102,2600183;41,16230574;;;;92;0,997793711;0,000267869;0,591405039;-0,116659195;-167,5604996;-5095,610358
;;93;0,746523;0,0190998;0,635575;-0,0888;-85,517;-194,901;;;;93;0,997753;0,00027088;0,591097;-0,116872;-167,569;-5046,79;;;;93;0,591830095;0,113116898;1;0;-110,2703132;77,86003368;;;;93;0,997752099;0,000270991;0,591206462;-0,116796446;-167,5697907;-5044,481105
;;94;0,743984;0,0189229;0,636681;-0,0881673;-85,2238;-194,897;;;;94;0,997711;0,000274005;0,5909;-0,117008;-167,578;-4996,69;;;;94;0,561233645;0,12659011;1;0;-121,9005931;120,2768534;;;;94;0,997710034;0,00027412;0,591009296;-0,116932833;-167,5788642;-4994,370963
;;95;0,741468;0,0187479;0,637788;-0,0875371;-84,9318;-194,892;;;;95;0,997668;0,000277137;0,590705;-0,117143;-167,587;-4947,58;;;;95;0,529084496;0,139710563;1;0;-138,3428262;169,3040289;;;;95;0,997667516;0,000277254;0,59081354;-0,117068355;-167,5877214;-4945,255947
;;96;0,738976;0,0185747;0,638896;-0,0869096;-84,641;-194,888;;;;96;0,997625;0,000280274;0,590511;-0,117278;-167,595;-4899,44;;;;96;0,49597197;0,15197514;1;0;-161,0377878;225,9717406;;;;96;0,997624544;0,000280394;0,590619196;-0,117203008;-167,5963634;-4897,112725
;;97;0,736506;0,0184034;0,640003;-0,0862852;-84,3515;-194,884;;;;97;0,997582;0,000283416;0,590319;-0,117411;-167,604;-4852,25;;;;97;0,462543259;0,16289437;1;0;-191,6754957;291,4707001;;;;97;0,997581118;0,000283539;0,590426264;-0,11733679;-167,6047912;-4849,918601
;;98;0,734058;0,018234;0,641111;-0,0856638;-84,0633;-,195;;;;98;0,997538;0,000286563;0,590128;-0,117544;-167,612;-4805,99;;;;98;0,429449291;0,172041062;1;0;-232,1761817;367,1771895;;;;98;0,997537238;0,000286689;0,590234745;-0,117469698;-167,6130061;-4803,651496
;;99;0,731633;0,0180664;0,642218;-0,0850457;-83,7762;-194,876;;;;99;0,997493;0,000289714;0,589939;-0,117675;-,168;-4760,63;;;;99;0,397291868;0,179091181;1;0;-284,6497982;454,6819879;;;;99;0,997492903;0,000289843;0,59004464;-0,117601728;-167,6210093;-4758,289928
;;100;0,729229;0,0179008;0,643323;-0,0844311;-83,4904;-194,872;;;;100;0,997449;0,000292869;0,589751;-0,117806;-167,628;-4716,16;;;;100;0,366580945;0,183849825;1;0;-351,3345574;555,8237847;;;;100;0,997448114;0,000293001;0,589855948;-0,11773288;-167,6288019;-4713,812993
;;101;0,726848;0,017737;0,644428;-0,08382;-83,2059;-194,868;;;;101;0,997404;0,000296027;0,589564;-0,117936;-167,635;-4672,55;;;;101;0,33770768;0,18625894;1;0;-434,5178829;672,7277986;;;;101;0,997402869;0,000296162;0,58966867;-0,11786315;-167,636385;-4670,20035
;;102;0,724487;0,0175751;0,645532;-0,0832126;-82,9226;-194,864;;;;102;0,997358;0,000299188;0,589379;-0,118065;-167,643;-4629,79;;;;102;0,310935206;0,18638749;1;0;-536,4460851;807,8504641;;;;102;0,99735717;0,000299327;0,589482805;-0,117992537;-167,6437599;-4627,432202
;;103;0,722148;0,0174151;0,646634;-0,082609;-82,6405;-,195;;;;103;0,997312;0,000302352;0,589195;-0,118193;-,168;-4587,85;;;;103;0,286404786;0,184408719;1;0;-659,2314999;964,0310463;;;;103;0,997311016;0,000302494;0,589298354;-0,118121038;-167,6509277;-4585,489282
;;104;0,71983;0,017257;0,647734;-0,0820092;-82,3596;-194,856;;;;104;0,997265;0,000305518;0,589013;-0,11832;-167,657;-4546,72;;;;104;0,26415232;0,180570761;1;0;-804,7656237;1144,55124;;;;104;0,997264407;0,000305663;0,589115316;-0,118248652;-167,6578897;-4544,352833
;;105;0,717532;0,0171007;0,648832;-0,0814133;-82,08;-194,852;;;;105;0,997218;0,000308686;0,588832;-0,118447;-167,664;-4506,38;;;;105;0,244130709;0,175165791;1;0;-974,6462544;1353,204437;;;;105;0,997217343;0,000308834;0,588933691;-0,118375376;-167,6646469;-4504,004597
;;106;0,715254;0,0169463;0,649928;-0,0808215;-81,8015;-194,848;;;;106;0,997171;0,000311855;0,588652;-0,118572;-,168;-4466,81;;;;106;0,226232815;0,16850282;1;0;-1170,125643;1594,374235;;;;106;0,997169825;0,000312007;0,588753477;-0,118501209;-167,6712007;-4464,426797
;;107;0,712997;0,0167937;0,651022;-0,0802337;-81,5243;-194,844;;;;107;0,997123;0,000315025;0,588474;-0,118697;-167,676;-4427,99;;;;107;0,21031339;0,160884927;1;0;-1392,080357;1873,128862;;;;107;0,997121852;0,00031518;0,588574674;-0,118626149;-167,6775521;-4425,602124
;;108;0,710759;0,016643;0,652114;-0,07965;-81,2483;-,195;;;;108;0,997074;0,000318195;0,588297;-0,11882;-167,683;-4389,91;;;;108;0,196206047;0,152594456;1;0;-1641,00758;2195,32544;;;;108;0,997073426;0,000318354;0,588397282;-0,118750195;-167,6837025;-4387,513725
;;109;0,708541;0,016494;0,653203;-0,0790705;-80,9735;-194,837;;;;109;0,997025;0,000321366;0,588122;-0,118943;-167,688;-4352,55;;;;109;0,183736998;0,143882905;1;0;-1917,042345;2567,734023;;;;109;0,997024546;0,000321528;0,588221298;-0,118873346;-167,689653;-4350,145186
;;110;0,706343;0,0163469;0,654289;-0,0784952;-80,6999;-194,833;;;;110;0,996976;0,000324536;0,587948;-0,119065;-167,694;-4315,89;;;;110;0,172734583;0,134966236;1;0;-2219,993388;2998,179914;;;;110;0,996975213;0,000324702;0,588046723;-0,1189956;-167,6954048;-4313,48052
;;111;0,704163;0,0162016;0,655372;-0,0779241;-80,4274;-194,829;;;;111;0,996926;0,000327706;0,587775;-0,119186;-,168;-4279,92;;;;111;0,163035426;0,126023879;1;0;-2549,392695;3495,707878;;;;111;0,996925427;0,000327875;0,587873553;-0,119116957;-167,7009591;-4277,504156
;;112;0,702002;0,016058;0,656453;-0,0773573;-80,1562;-194,825;;;;112;0,996876;0,000330874;0,587604;-0,119306;-167,705;-4244,62;;;;112;0,154488156;0,117200165;1;0;-2904,55322;4070,772381;;;;112;0,996875188;0,000331048;0,587701788;-0,119237414;-167,7063171;-4242,200927
;;113;0,69986;0,0159162;0,65753;-0,0767947;-79,8862;-194,822;;;;113;0,996825;0,000334042;0,587434;-0,119425;-,168;-4209,99;;;;113;0,14695515;0,108607405;1;0;-3284,630465;4735,458418;;;;113;0,996824499;0,000334218;0,587531427;-0,119356972;-167,7114801;-4207,556056
;;114;0,697737;0,0157761;0,658605;-0,0762364;-79,6173;-194,818;;;;114;0,996774;0,000337207;0,587266;-0,119543;-167,715;-4175,99;;;;114;0,140313001;0,100329661;1;0;-3688,681657;5503,730698;;;;114;0,996773358;0,000337387;0,587362467;-0,11947563;-167,7164492;-4173,555146
;;115;0,695631;0,0156377;0,659676;-0,0756824;-79,3496;-194,814;;;;115;0,996723;0,00034037;0,587099;-0,119661;-,168;-4142,63;;;;115;0,134452162;0,092426934;1;0;-4115,723575;6391,733084;;;;115;0,996721767;0,000340554;0,587194906;-0,119593386;-167,7212258;-4140,184168
;;116;0,693544;0,015501;0,660744;-0,0751327;-79,083;-194,811;;;;116;0,996671;0,00034353;0,586933;-0,119777;-167,725;-4109,88;;;;116;0,129276085;0,084939133;1;0;-4564,781803;7418,124897;;;;116;0,996669726;0,000343718;0,587028742;-0,119710241;-167,7258109;-4107,429452
;;117;0,691474;0,0153659;0,661809;-0,0745873;-78,8176;-194,807;;;;117;0,996618;0,000346687;0,586769;-0,119893;-167,729;-4077,74;;;;117;0,124700118;0,077889748;1;0;-5034,932612;8604,468215;;;;117;0,996617236;0,00034688;0,586863974;-0,119826194;-167,7302059;-4075,277676
;;118;0,689422;0,0152326;0,66287;-0,0740462;-78,5534;-194,804;;;;118;0,996565;0,000349841;0,586606;-0,120008;-167,733;-4046,18;;;;118;0,120650265;0,071289299;1;0;-5525,338608;9975,694029;;;;118;0,996564298;0,000350037;0,586700599;-0,119941245;-167,734412;-4043,715855
;;119;0,687387;0,0151008;0,663928;-0,0735094;-78,2903;-,195;;;;119;0,996512;0,000352991;0,586445;-0,120121;-167,737;-4015,2;;;;119;0,117061985;0,065138081;1;0;-6035,274861;11560,61826;;;;119;0,996510914;0,000353192;0,586538613;-0,120055393;-167,7384303;-4012,731332
;;120;0,685369;0,0149707;0,664983;-0,0729769;-78,0283;-194,797;;;;120;0,996458;0,000356137;0,586285;-0,120234;-167,741;-3984,79;;;;120;0,113879068;0,059428566;1;0;-6564,146145;13392,54148;;;;120;0,996457083;0,000356342;0,586378016;-0,120168638;-167,7422621;-3982,31177
;;121;0,683368;0,0148421;0,666034;-0,0724486;-77,7675;-194,793;;;;121;0,996404;0,000359278;0,586126;-0,120346;-167,745;-3954,93;;;;121;0,111052562;0,054147497;1;0;-7111,50006;15509,95688;;;;121;0,996402806;0,000359487;0,586218804;-0,120280981;-167,7459087;-3952,44514
;;122;0,681384;0,0147151;0,667081;-0,0719247;-77,5078;-,195;;;;122;0,996349;0,000362415;0,585969;-0,120457;-167,748;-3925,62;;;;122;0,10853983;0,049277504;1;0;-7677,0336;17957,35664;;;;122;0,996348086;0,000362628;0,586060973;-0,120392421;-167,7493713;-3923,119713
;;123;0,679416;0,0145897;0,668125;-0,0714049;-77,2492;-194,787;;;;123;0,996294;0,000365546;0,585813;-0,120567;-167,751;-3896,83;;;;123;0,106303707;0,044798442;1;0;-8260,595034;20786,16628;;;;123;0,996292923;0,000365763;0,585904522;-0,120502959;-167,752651;-3894,324056
;;124;0,677465;0,0144658;0,669165;-0,0708894;-76,9917;-194,783;;;;124;0,996239;0,000368671;0,585659;-0,120677;-167,754;-3868,56;;;;124;0,104311763;0,040688437;1;0;-8862,182449;24055,82584;;;;124;0,996237317;0,000368893;0,585749448;-0,120612595;-167,7557492;-3866,047016
;;125;0,67553;0,0143434;0,670202;-0,0703781;-76,7354;-,195;;;;125;0,996183;0,000371791;0,585506;-0,120785;-167,757;-3840,8;;;;125;0,10253567;0,036924717;1;0;-9481,939598;27835,03867;;;;125;0,996181271;0,000372017;0,585595746;-0,12072133;-167,758667;-3838,277719
;;126;0,67361;0,0142225;0,671235;-0,0698709;-76,4801;-194,776;;;;126;0,996126;0,000374904;0,585354;-0,120893;-,168;-3813,54;;;;126;0,100950642;0,033484244;1;0;-10120,14994;32203,21502;;;;126;0,996124785;0,000375135;0,585443414;-0,120829163;-167,7614058;-3811,005556
;;127;0,671706;0,014103;0,672264;-0,0693679;-76,2259;-194,773;;;;127;0,996069;0,000378011;0,585204;-0,120999;-167,762;-3786,76;;;;127;0,099534961;0,030344193;1;0;-10777,22959;37252,14069;;;;127;0,996067861;0,000378246;0,585292448;-0,120936096;-167,7639667;-3784,220183
;;128;0,669818;0,013985;0,67329;-0,0688691;-75,9729;-,195;;;;128;0,996012;0,00038111;0,585054;-0,121105;-167,765;-3760,46;;;;128;0,098269566;0,027482306;1;0;-11453,71959;43087,90149;;;;128;0,9960105;0,00038135;0,585142845;-0,12104213;-167,7663509;-3757,911504
;;129;0,667945;0,0138684;0,674312;-0,0683744;-75,7209;-194,767;;;;129;0,995954;0,000384202;0,584907;-0,12121;-167,767;-3734,63;;;;129;0,097137702;0,024877142;1;0;-12150,27815;49833,12044;;;;129;0,995952704;0,000384447;0,584994601;-0,121147264;-167,7685597;-3732,069676
;;130;0,666087;0,0137532;0,67533;-0,0678837;-75,4699;-194,764;;;;130;0,995896;0,000387287;0,58476;-0,121313;-167,769;-3709,25;;;;130;0,096124618;0,022508251;1;0;-12867,67301;57629,53416;;;;130;0,995894473;0,000387536;0,584847713;-0,121251501;-167,7705944;-3706,685089
;;131;0,664244;0,0136394;0,676345;-0,0673971;-75,2201;-,195;;;;131;0,995837;0,000390363;0,584615;-0,121416;-167,771;-3684,33;;;;131;0,095217303;0,020356285;1;0;-13606,77399;66640,96392;;;;131;0,995835809;0,000390617;0,584702176;-0,121354841;-167,7724561;-3681,748371
;;132;0,662416;0,013527;0,677355;-0,0669146;-74,9713;-194,757;;;;132;0,995778;0,000393431;0,584472;-0,121519;-167,773;-3659,84;;;;132;0,094404266;0,018403059;1;0;-14368,54659;77056,76;;;;132;0,995776714;0,00039369;0,584557986;-0,121457285;-167,7741461;-3657,250374
;;133;0,660603;0,0134159;0,678362;-0,066436;-74,7236;-194,754;;;;133;0,995719;0,000396491;0,584329;-0,12162;-167,774;-3635,78;;;;133;0,093675343;0,016631576;1;0;-15154,04599;89095,78269;;;;133;0,995717189;0,000396754;0,58441514;-0,121558835;-167,7756657;-3633,18217
;;134;0,658804;0,0133061;0,679366;-0,0659614;-74,4769;-194,751;;;;134;0,995659;0,000399541;0,584189;-0,12172;-167,775;-3612,14;;;;134;0,093021528;0,015026019;1;0;-15964,41178;103011,0001;;;;134;0,995657236;0,00039981;0,584273634;-0,121659491;-167,7770159;-3609,535046
;;135;0,65702;0,0131976;0,680365;-0,0654908;-74,2313;-194,748;;;;135;0,995599;0,000402582;0,584049;-0,12182;-167,777;-3588,92;;;;135;0,092434836;0,013571733;1;0;-16800,86351;119094,8026;;;;135;0,995596857;0,000402856;0,584133463;-0,121759255;-167,7781982;-3586,300499
;;136;0,655249;0,0130905;0,681361;-0,065024;-73,9867;-194,745;;;;136;0,995538;0,000405614;0,583911;-0,121918;-167,778;-3566,1;;;;136;0,091908172;0,01225518;1;0;-17664,69699;137685,153;;;;136;0,995536052;0,000405893;0,583994622;-0,12185813;-167,7792136;-3563,470225
;;137;0,653492;0,0129845;0,682353;-0,0645611;-73,7431;-194,742;;;;137;0,995477;0,000408635;0,583774;-0,122016;-167,778;-3543,68;;;;137;0,091435229;0,011063896;1;0;-18557,28141;159172,6896;;;;137;0,995474825;0,000408919;0,583857108;-0,121956115;-167,7800635;-3541,03612
;;138;0,65175;0,0128799;0,683341;-0,0641021;-73,5005;-194,739;;;;138;0,995415;0,000411647;0,583638;-0,122112;-167,779;-3521,64;;;;138;0,091010392;0,009986429;1;0;-19480,05704;184008,9095;;;;138;0,995413175;0,000411936;0,583720915;-0,122053213;-167,7807491;-3518,990272
;;139;0,650021;0,0127764;0,684326;-0,0636469;-73,259;-194,736;;;;139;0,995353;0,000414648;0,583503;-0,122208;-,168;-3499,99;;;;139;0,090628658;0,009012283;1;0;-20434,53364;212715,6774;;;;139;0,995351106;0,000414942;0,58358604;-0,122149426;-167,7812715;-3497,324954
;;140;0,648305;0,0126742;0,685307;-0,0631955;-73,0185;-194,733;;;;140;0,995291;0,000417638;0,58337;-0,122303;-,168;-3478,71;;;;140;0,090285563;0,008131859;1;0;-21422,28956;245896,1917;;;;140;0,995288619;0,000417938;0,583452477;-0,122244755;-167,781632;-3476,032621
;;141;0,646603;0,0125732;0,686284;-0,0627478;-72,779;-,195;;;;141;0,995228;0,000420617;0,583239;-0,122397;-,168;-3457,79;;;;141;0,089977122;0,007336387;1;0;-22444,97128;284247,6541;;;;141;0,995225716;0,000420922;0,583320221;-0,122339202;-167,7818319;-3455,105906
;;142;0,644913;0,0124733;0,687257;-0,0623039;-72,5405;-194,727;;;;142;0,995164;0,000423585;0,583108;-0,122491;-,168;-3437,24;;;;142;0,089699776;0,006617872;1;0;-23504,29352;328575,8774;;;;142;0,995162398;0,000423896;0,583189269;-0,12243277;-167,7818722;-3434,537613
;;143;0,643237;0,0123746;0,688227;-0,0618636;-72,303;-194,724;;;;143;0,995101;0,000426541;0,582979;-0,122583;-,168;-3417,03;;;;143;0,08945034;0,005969032;1;0;-24602,03983;379812,3188;;;;143;0,995098668;0,000426858;0,583059614;-0,12252546;-167,7817544;-3414,320713
;;144;0,641574;0,012277;0,689193;-0,0614269;-72,0665;-194,721;;;;144;0,995037;0,000429486;0,582851;-0,122675;-,168;-3397,17;;;;144;0,089225967;0,005383242;1;0;-25740,06397;439033,604;;;;144;0,995034527;0,000429808;0,582931253;-0,122617274;-167,7814795;-3394,448341
;;145;0,639924;0,0121806;0,690155;-0,0609939;-71,831;-194,719;;;;145;0,994972;0,000432418;0,582725;-0,122765;-167,779;-3377,65;;;;145;0,089024106;0,004854482;1;0;-26920,29084;507484,1058;;;;145;0,994969978;0,000432746;0,582804179;-0,122708215;-167,7810487;-3374,91379
;;146;0,638286;0,0120852;0,691114;-0,0605645;-71,5964;-194,716;;;;146;0,994907;0,000435338;0,582599;-0,122855;-167,779;-3358,46;;;;146;0,088842471;0,004377288;1;0;-28144,71873;586602,1234;;;;146;0,994905023;0,000435671;0,582678387;-0,122798286;-167,7804634;-3355,710508
;;147;0,63666;0,011991;0,692069;-0,0601386;-71,3628;-194,713;;;;147;0,994842;0,000438245;0,582475;-0,122944;-167,778;-3339,59;;;;147;0,088679015;0,0039467;1;0;-29415,42133;678050,1129;;;;147;0,994839663;0,000438584;0,582553873;-0,122887487;-167,7797246;-3336,832093
;;148;0,635047;0,0118978;0,69302;-0,0597162;-71,1302;-,195;;;;148;0,994776;0,000441139;0,582352;-0,123032;-167,777;-3321,05;;;;148;0,088531901;0,003558225;1;0;-30734,55017;783749,6113;;;;148;0,9947739;0,000441485;0,58243063;-0,122975823;-167,7788336;-3318,27229
;;149;0,633446;0,0118057;0,693968;-0,0592974;-70,8985;-194,707;;;;149;0,99471;0,000444021;0,582231;-0,123119;-167,776;-3302,81;;;;149;0,088399481;0,003207788;1;0;-32104,33743;905921,6133;;;;149;0,994707737;0,000444372;0,582308654;-0,123063294;-167,7777917;-3300,024985
;;150;0,631857;0,0117146;0,694912;-0,058882;-70,6678;-194,705;;;;150;0,994644;0,000446889;0,582111;-0,123205;-167,775;-3284,89;;;;150;0,088280275;0,002891704;1;0;-33527,09896;1047133,24;;;;150;0,994641176;0,000447246;0,582187939;-0,123149905;-167,7765999;-3282,084205
;;151;0,63028;0,0116246;0,695853;-0,05847;-70,4381;-194,702;;;;151;0,994577;0,000449743;0,581992;-0,123291;-167,773;-3267,26;;;;151;0,088172956;0,002606636;1;0;-35005,23757;1210351,679;;;;151;0,994574219;0,000450106;0,58206848;-0,123235657;-167,7752595;-3264,44411
;;152;0,628715;0,0115356;0,69679;-0,0580614;-70,2093;-194,699;;;;152;0,994509;0,000452584;0,581874;-0,123375;-167,772;-3249,93;;;;152;0,08807633;0,002349563;1;0;-36541,2466;1399006,534;;;;152;0,994506868;0,000452953;0,58195027;-0,123320553;-167,7737716;-3247,098994
;;153;0,627161;0,0114475;0,697723;-0,0576561;-69,9814;-194,697;;;;153;0,994442;0,00045541;0,581757;-0,123459;-,168;-3232,89;;;;153;0,087989327;0,002117758;1;0;-38137,71366;1617061,887;;;;153;0,994439125;0,000455786;0,581833304;-0,123404597;-167,7721376;-3230,043278
;;154;0,625619;0,0113605;0,698653;-0,0572542;-69,7545;-194,694;;;;154;0,994374;0,000458222;0,581642;-0,123542;-167,768;-3216,13;;;;154;0,087910982;0,001908752;1;0;-39797,32465;1869099,591;;;;154;0,994370992;0,000458605;0,581717577;-0,12348779;-167,7703585;-3213,271508
;;155;0,624088;0,0112744;0,699579;-0,0568556;-69,5285;-194,691;;;;155;0,994305;0,00046102;0,581528;-0,123624;-167,766;-3199,65;;;;155;0,08784043;0,001720317;1;0;-41522,86801;2160415,553;;;;155;0,994302473;0,000461409;0,581603083;-0,123570136;-167,7684355;-3196,778352
;;156;0,622569;0,0111893;0,700502;-0,0564602;-69,3034;-194,689;;;;156;0,994236;0,000463804;0,581415;-0,123705;-167,764;-3183,45;;;;156;0,087776893;0,001550439;1;0;-43317,23913;2497131,005;;;;156;0,994233568;0,000464199;0,581489815;-0,123651638;-167,7663698;-3180,558596
;;157;0,621061;0,0111051;0,701421;-0,056068;-69,0792;-194,686;;;;157;0,994167;0,000466572;0,581303;-0,123786;-167,762;-3167,51;;;;157;0,08771967;0,001397298;1;0;-45183,44504;2886321,128;;;;157;0,99416428;0,000466974;0,581377769;-0,123732299;-167,7641626;-3164,607143
;;158;0,619564;0,0110218;0,702337;-0,0556791;-68,8559;-194,684;;;;158;0,994098;0,000469325;0,581193;-0,123865;-,168;-3151,84;;;;158;0,087668132;0,001259254;1;0;-47124,60928;3336163,724;;;;158;0,994094612;0,000469734;0,581266937;-0,123812122;-167,7618151;-3148,919008
;;159;0,618077;0,0109394;0,703249;-0,0552934;-68,6336;-194,681;;;;159;0,994028;0,000472063;0,581084;-0,123944;-167,757;-3136,43;;;;159;0,087621711;0,001134822;1;0;-49143,97704;3856111,04;;;;159;0,994024566;0,000472479;0,581157315;-0,12389111;-167,7593284;-3133,489315
;;160;0,616602;0,010858;0,704157;-0,0549107;-68,4121;-194,679;;;;160;0,993957;0,000474786;0,580976;-0,124022;-167,754;-3121,27;;;;160;0,0875799;0,001022666;1;0;-51244,92046;4457088,392;;;;160;0,993954144;0,000475208;0,581048895;-0,123969266;-167,7567036;-3118,313296
;;161;0,615137;0,0107774;0,705063;-0,0545312;-68,1915;-194,676;;;;161;0,993887;0,000477493;0,580869;-0,124099;-167,752;-3106,36;;;;161;0,087542237;0,000921579;1;0;-53430,94419;5151723,727;;;;161;0,993883349;0,000477923;0,580941672;-0,124046593;-167,7539421;-3103,386288
;;162;0,613683;0,0106977;0,705965;-0,0541548;-67,9719;-194,674;;;;162;0,993815;0,000480185;0,580763;-0,124175;-167,749;-3091,69;;;;162;0,087508312;0,00083047;1;0;-55705,69123;5954612,963;;;;162;0,993812183;0,000480621;0,58083564;-0,124123095;-167,7510448;-3088,703727
